Date,r_label,c_label
2012-10-22,0.00040614966021534774,0.5
2012-10-23,0.00040614966021534774,0.5
2012-10-24,0.00037803379735552715,0.0
2012-10-25,0.0003534769182262092,0.0
2012-10-26,0.00036878046680900793,1.0
2012-10-29,0.0003791015128392685,1.0
2012-10-30,0.00039013430131005475,1.0
2012-10-31,0.00036771278526625086,0.0
2012-11-01,0.0003641538354767326,0.5
2012-11-02,0.00037411894240476176,1.0
2012-11-05,0.00037945738405953134,1.0
2012-11-06,0.0003801691943820256,1.0
2012-11-07,0.0003805250656022884,0.5
2012-11-08,0.000376610210651523,0.5
2012-11-09,0.00038337227295128103,1.0
2012-11-12,0.00038123687592478265,0.5
2012-11-13,0.00038123687592478265,0.5
2012-11-14,0.00039013430131005475,1.0
2012-11-15,0.0004097086439458503,1.0
2012-11-16,0.00041148813581110157,1.0
2012-11-19,0.00040899683362335607,0.5
2012-11-20,0.0004104204542683445,1.0
2012-11-21,0.00043355374669365834,1.0
2012-11-22,0.00043106247844689713,0.5
2012-11-23,0.00042750349471639456,0.5
2012-11-26,0.00042572400285114325,0.5
2012-11-27,0.00043106247844689713,1.0
2012-11-28,0.0004346214621773997,1.0
2012-11-29,0.0004388921883484279,1.0
2012-11-30,0.0004428070772401776,1.0
2012-12-03,0.0004687875430734997,1.0
2012-12-04,0.0004677198615307427,0.5
2012-12-05,0.0004648726881227343,0.5
2012-12-06,0.0004719906216427552,1.0
2012-12-07,0.00046949935339599396,0.5
2012-12-10,0.0004741259847282693,1.0
2012-12-11,0.0004791085891037603,1.0
2012-12-12,0.0004791085891037603,0.5
2012-12-13,0.0004755495714322735,0.5
2012-12-14,0.00046309319625748306,0.0
2012-12-17,0.0004648726881227343,1.0
2012-12-18,0.0004755495714322735,1.0
2012-12-19,0.0004727023980242651,0.5
2012-12-20,0.0004719906216427552,0.5
2012-12-21,0.0004677198615307427,0.5
2012-12-24,0.00046665217998798563,0.5
2012-12-25,0.00047092290615901385,1.0
2012-12-26,0.00046914344823474684,0.5
2012-12-27,0.00046914344823474684,0.5
2012-12-28,0.0004723465268040023,1.0
2012-12-31,0.0004648726881227343,0.0
2013-01-01,0.00046416087780024013,0.5
2013-01-02,0.0004684316718532369,1.0
2013-01-03,0.0004719906216427552,1.0
2013-01-04,0.00047519366627102636,1.0
2013-01-07,0.0004805321418667802,1.0
2013-01-08,0.00048159982340953726,1.0
2013-01-09,0.0004947680428478062,1.0
2013-01-10,0.0004947680428478062,0.5
2013-01-11,0.0005004623896638228,1.0
2013-01-14,0.0004986828977985716,0.5
2013-01-15,0.0005157659721876059,1.0
2013-01-16,0.0005431700247249322,1.0
2013-01-17,0.0005502879582449531,1.0
2013-01-18,0.0005894366095755599,1.0
2013-01-21,0.0006058079075830842,1.0
2013-01-22,0.0006143494278071092,1.0
2013-01-23,0.0005929955933060624,0.0
2013-01-24,0.0006107904440766067,1.0
2013-01-25,0.0006577688392497285,1.0
2013-01-28,0.0006865965463730276,1.0
2013-01-29,0.0006926467983502914,1.0
2013-01-30,0.0007179154538611193,1.0
2013-01-31,0.0007211185324303748,1.0
2013-02-01,0.0007186272641836136,0.5
2013-02-04,0.0007246775161608773,1.0
2013-02-05,0.0007453195403394299,1.0
2013-02-06,0.0007798415263967772,1.0
2013-02-07,0.0007979922823285685,1.0
2013-02-08,0.0008688157802494984,1.0
2013-02-11,0.0008873224413425369,1.0
2013-02-12,0.0008528004552851897,0.0
2013-02-13,0.0009602813702309495,1.0
2013-02-14,0.0009560105761779527,0.5
2013-02-15,0.0009506721345231831,0.5
2013-02-18,0.0010385786050101946,1.0
2013-02-19,0.0010467643558369096,1.0
2013-02-20,0.0010503232038034749,1.0
2013-02-21,0.0010681181903379564,1.0
2013-02-22,0.0010734565641107574,1.0
2013-02-25,0.0010983693823423068,1.0
2013-02-26,0.001091251346999333,0.5
2013-02-27,0.0011795139262934973,1.0
2013-02-28,0.001219374354005614,1.0
2013-03-01,0.0012780974158539849,1.0
2013-03-04,0.00142686237915685,1.0
2013-03-05,0.0014514192243451835,1.0
2013-03-06,0.0014862971155637779,1.0
2013-03-07,0.0015638826757844657,1.0
2013-03-08,0.0017140712597323192,1.0
2013-03-11,0.0015677975646762154,0.0
2013-03-12,0.0016613983819792435,1.0
2013-03-13,0.0016702958073645155,1.0
2013-03-14,0.0016624661653449535,0.5
2013-03-15,0.0018279581960526526,1.0
2013-03-18,0.002096304578255805,1.0
2013-03-19,0.0022867094271950537,1.0
2013-03-20,0.0025130599507186065,1.0
2013-03-21,0.0024781821952639493,0.0
2013-03-22,0.0026109319014844742,1.0
2013-03-25,0.0027853212218135084,1.0
2013-03-26,0.0031561658467049608,1.0
2013-03-27,0.0030586501405101833,0.0
2013-03-28,0.0032123976403065704,1.0
2013-03-29,0.003692858339583391,1.0
2013-04-01,0.004190402486600074,1.0
2013-04-02,0.00479613935888501,1.0
2013-04-03,0.004693640844668835,0.0
2013-04-04,0.005056655691776788,1.0
2013-04-05,0.006664598689792156,1.0
2013-04-08,0.008177161548344167,1.0
2013-04-09,0.005863830405117665,0.0
2013-04-10,0.004436683427625591,0.0
2013-04-11,0.004155525002673291,0.0
2013-04-12,0.002923765139086113,0.0
2013-04-15,0.002424441669909101,0.0
2013-04-16,0.003303863162406053,1.0
2013-04-17,0.0038711628203320497,1.0
2013-04-18,0.004208197608898492,1.0
2013-04-19,0.004525657409950437,1.0
2013-04-22,0.00509793987589783,1.0
2013-04-23,0.005479462062918508,1.0
2013-04-24,0.005034945952114494,0.0
2013-04-25,0.004863759574590778,0.0
2013-04-26,0.005116446672754806,1.0
2013-04-29,0.0049466836443482045,0.0
2013-04-30,0.004133459289967781,0.0
2013-05-01,0.0037729357111065892,0.0
2013-05-02,0.0034828795892411428,0.0
2013-05-03,0.003986473648825246,1.0
2013-05-06,0.0038921611569636607,0.0
2013-05-07,0.00402028375667813,1.0
2013-05-08,0.00400604782175612,0.5
2013-05-09,0.004180437685140903,1.0
2013-05-10,0.004190402486600074,1.0
2013-05-13,0.003956222456820895,0.0
2013-05-14,0.00405658540430565,1.0
2013-05-15,0.004198588237426789,1.0
2013-05-16,0.0043868577911624915,1.0
2013-05-17,0.004334184913409416,0.5
2013-05-20,0.004365148323028072,1.0
2013-05-21,0.0043975348102359675,1.0
2013-05-22,0.004486508792560815,1.0
2013-05-23,0.004728519143179241,1.0
2013-05-24,0.004610005371880726,0.0
2013-05-27,0.004582601149638478,0.5
2013-05-28,0.004698267679647016,1.0
2013-05-29,0.00457548331794141,0.0
2013-05-30,0.004576195264027842,0.5
2013-05-31,0.004288630410409157,0.0
2013-06-03,0.004312119200703906,1.0
2013-06-04,0.004329914594530199,1.0
2013-06-05,0.004225636486625821,0.0
2013-06-06,0.003941986521898885,0.0
2013-06-07,0.003776494355427249,0.0
2013-06-10,0.0038708073903445826,1.0
2013-06-11,0.0038629773410332087,0.5
2013-06-12,0.0036910790174230616,0.0
2013-06-13,0.0035504998049469116,0.0
2013-06-14,0.0036198998858687588,1.0
2013-06-17,0.003812084056968337,1.0
2013-06-18,0.0038441148426608916,1.0
2013-06-19,0.003952307567929146,1.0
2013-06-20,0.0038886022411151267,0.0
2013-06-21,0.0036248824223622813,0.0
2013-06-24,0.003669013576245426,1.0
2013-06-25,0.003692858339583391,1.0
2013-06-26,0.003612426081128475,0.0
